Country Origin Name,Country Dest Name,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000],Include,L_Or,L_Des,,
Sudan,Canada,177,1003,1867,559,7278,TRUE,Arabic,English,TRUE,TRUE
Sudan,Germany,32,36,32,956,749,FALSE,Arabic,German,TRUE,FALSE
Sudan,United Kingdom,1187,137,144,61,124,TRUE,Arabic,English,TRUE,TRUE
Sudan,United States,302,692,3430,6309,18652,TRUE,Arabic,English,TRUE,TRUE
Sudan,Iraq,7,882,1543,2704,775,TRUE,Arabic,Arabic,FALSE,FALSE
Sudan,Jordan,45,171,626,1415,2491,TRUE,Arabic,Arabic,FALSE,FALSE
Sudan,Kuwait,23,1110,2857,3414,3224,TRUE,Arabic,Arabic,FALSE,FALSE
Sudan,Lebanon,48,13,64,720,6944,TRUE,Arabic,Arabic,FALSE,FALSE
Sudan,Malaysia,0,0,1,5,10,FALSE,Arabic,Malay,TRUE,FALSE
Sudan,Russian Federation,0,0,0,0,0,FALSE,Arabic,Russian,TRUE,FALSE
Sudan,Saudi Arabia,2457,13838,70566,183849,198887,TRUE,Arabic,Arabic,FALSE,FALSE
Sudan,Sudan,0,0,0,0,0,FALSE,Arabic,Arabic,FALSE,FALSE
Sudan,Turkey,28,52,62,111,213,FALSE,Arabic,Turkish,TRUE,FALSE
Sudan,France,171,409,3,5,288,FALSE,Arabic,French,TRUE,FALSE
Sudan,Japan,0,1,3,27,77,FALSE,Arabic,Japanese,TRUE,FALSE
Sudan,Singapore,4,0,0,2,8,FALSE,Arabic,English,TRUE,FALSE
Spain,United Arab Emirates,0,2,16,31,52,FALSE,Spanish,Arabic,TRUE,FALSE
Spain,Qatar,4,0,6,32,68,FALSE,Spanish,Arabic,TRUE,FALSE
Spain,Oman,0,0,0,3,4,FALSE,Spanish,Arabic,TRUE,FALSE
Spain,Switzerland,24340,122841,126727,126965,88369,TRUE,Spanish,German,TRUE,TRUE
Spain,Afghanistan,0,0,0,0,0,FALSE,Spanish,Arabic,TRUE,FALSE
Spain,Australia,3698,12628,14612,14100,12541,TRUE,Spanish,English,TRUE,TRUE
Spain,Canada,6556,13163,20171,14715,10480,TRUE,Spanish,English,TRUE,TRUE
Spain,Germany,52278,244214,176968,131604,133635,TRUE,Spanish,German,TRUE,TRUE
Spain,United Kingdom,24611,31623,41002,39279,60888,TRUE,Spanish,English,TRUE,TRUE
Spain,United States,47232,68175,97039,110958,119977,TRUE,Spanish,English,TRUE,TRUE
Spain,Iraq,1,0,0,0,0,FALSE,Spanish,Arabic,TRUE,FALSE
Spain,Jordan,83,32,22,181,301,FALSE,Spanish,Arabic,TRUE,FALSE
Spain,Kuwait,1,7,94,87,82,FALSE,Spanish,Arabic,TRUE,FALSE
Spain,Lebanon,4,0,0,19,45,FALSE,Spanish,Arabic,TRUE,FALSE
Spain,Malaysia,0,11,32,104,238,FALSE,Spanish,Malay,TRUE,FALSE
Spain,Russian Federation,0,0,0,0,0,FALSE,Spanish,Russian,TRUE,FALSE
Spain,Saudi Arabia,0,2,12,32,34,FALSE,Spanish,Arabic,TRUE,FALSE
Spain,Sudan,19,18,23,63,76,FALSE,Spanish,Arabic,TRUE,FALSE
Spain,Turkey,271,173,78,24,1205,TRUE,Spanish,Turkish,TRUE,TRUE
Spain,France,89841,736748,489332,429029,151566,TRUE,Spanish,French,TRUE,TRUE
Spain,Japan,2,38,84,968,1523,TRUE,Spanish,Japanese,TRUE,TRUE
Spain,Singapore,43,6,20,52,74,FALSE,Spanish,English,TRUE,FALSE
Sri Lanka,United Arab Emirates,3,88,957,1775,3051,TRUE,N,Arabic,TRUE,TRUE
Sri Lanka,Qatar,2,30,174,3996,6274,TRUE,N,Arabic,TRUE,TRUE
Sri Lanka,Oman,2004,2883,6705,19447,28630,TRUE,N,Arabic,TRUE,TRUE
Sri Lanka,Switzerland,573,472,398,7141,34182,TRUE,N,German,TRUE,TRUE
Sri Lanka,Afghanistan,83,193,1422,2016,2054,TRUE,N,Arabic,TRUE,TRUE
Sri Lanka,Australia,3278,6413,16361,36034,52695,TRUE,N,English,TRUE,TRUE
Sri Lanka,Canada,929,12227,24012,10798,89335,TRUE,N,English,TRUE,TRUE
Sri Lanka,Germany,719,940,1602,23687,58017,TRUE,N,German,TRUE,TRUE
Sri Lanka,United Kingdom,11058,17870,26715,40818,4412,TRUE,N,English,TRUE,TRUE
Sri Lanka,United States,343,266,6209,14865,26040,TRUE,N,English,TRUE,TRUE
Sri Lanka,Iraq,0,0,0,0,0,FALSE,N,Arabic,TRUE,FALSE
Sri Lanka,Jordan,2,6,20,6841,12320,TRUE,N,Arabic,TRUE,TRUE
Sri Lanka,Kuwait,88,153,147,10799,10198,TRUE,N,Arabic,TRUE,TRUE
Sri Lanka,Lebanon,2,6,12,2394,4199,TRUE,N,Arabic,TRUE,TRUE
Sri Lanka,Malaysia,506,6280,2813,1372,2821,TRUE,N,Malay,TRUE,TRUE
Sri Lanka,Russian Federation,0,0,0,0,0,FALSE,N,Russian,TRUE,FALSE
Sri Lanka,Saudi Arabia,1371,7723,39383,102608,111001,TRUE,N,Arabic,TRUE,TRUE
Sri Lanka,Sudan,19,18,24,34,40,FALSE,N,Arabic,TRUE,FALSE
Sri Lanka,Turkey,0,0,0,0,38,FALSE,N,Turkish,TRUE,FALSE
Sri Lanka,France,6734,673,416,11840,11361,TRUE,N,French,TRUE,TRUE
Sri Lanka,Japan,9,139,308,1759,4563,TRUE,N,Japanese,TRUE,TRUE
Sri Lanka,Singapore,1856,525,676,1209,3406,TRUE,N,English,TRUE,TRUE
Myanmar,United Arab Emirates,0,0,0,0,0,FALSE,Burmese,Arabic,TRUE,FALSE
Myanmar,Qatar,1,0,0,1,5,FALSE,Burmese,Arabic,TRUE,FALSE
Myanmar,Oman,0,0,0,0,0,FALSE,Burmese,Arabic,TRUE,FALSE
Myanmar,Switzerland,4,3,3,25,116,FALSE,Burmese,German,TRUE,FALSE
Myanmar,Afghanistan,194,465,908,614,673,FALSE,Burmese,Arabic,TRUE,FALSE
Myanmar,Australia,1425,2527,7034,7991,10821,TRUE,Burmese,English,TRUE,TRUE
Myanmar,Canada,38,499,981,2894,3649,TRUE,Burmese,English,TRUE,TRUE
Myanmar,Germany,5,7,12,210,419,FALSE,Burmese,German,TRUE,FALSE
Myanmar,United Kingdom,11934,13705,12090,11378,295,TRUE,Burmese,English,TRUE,TRUE
Myanmar,United States,711,562,13120,21588,35623,TRUE,Burmese,English,TRUE,TRUE
Myanmar,Iraq,98,60,35,20,0,FALSE,Burmese,Arabic,TRUE,FALSE
Myanmar,Jordan,22,7,0,1,24,FALSE,Burmese,Arabic,TRUE,FALSE
Myanmar,Kuwait,0,0,0,3,3,FALSE,Burmese,Arabic,TRUE,FALSE
Myanmar,Lebanon,1,0,0,0,3,FALSE,Burmese,Arabic,TRUE,FALSE
Myanmar,Malaysia,9,348,1044,3353,10790,TRUE,Burmese,Malay,TRUE,TRUE
Myanmar,Russian Federation,0,0,0,0,0,FALSE,Burmese,Russian,TRUE,FALSE
Myanmar,Saudi Arabia,0,0,0,0,0,FALSE,Burmese,Arabic,TRUE,FALSE
Myanmar,Sudan,11,10,13,17,20,FALSE,Burmese,Arabic,TRUE,FALSE
Myanmar,Turkey,0,1,2,3,0,FALSE,Burmese,Turkish,TRUE,FALSE
Myanmar,France,1993,199,122,57,3362,TRUE,Burmese,French,TRUE,TRUE
Myanmar,Japan,6,94,207,1050,4730,TRUE,Burmese,Japanese,TRUE,TRUE
Myanmar,Singapore,470,195,202,293,431,FALSE,Burmese,English,TRUE,FALSE
Libya,United Arab Emirates,0,17,190,352,605,FALSE,Arabic,Arabic,FALSE,FALSE
Libya,Qatar,4,1011,97,128,1000,TRUE,Arabic,Arabic,FALSE,FALSE
Libya,Oman,4,6,14,42,62,FALSE,Arabic,Arabic,FALSE,FALSE
Libya,Switzerland,26,7,33,26,756,FALSE,Arabic,German,TRUE,FALSE
Libya,Afghanistan,0,0,0,0,1,FALSE,Arabic,Arabic,FALSE,FALSE
Libya,Australia,75,204,597,1235,1436,TRUE,Arabic,English,TRUE,TRUE
Libya,Canada,282,1586,2951,559,2502,TRUE,Arabic,English,TRUE,TRUE
Libya,Germany,36,40,36,1001,831,TRUE,Arabic,German,TRUE,TRUE
Libya,United Kingdom,28,102,6146,6973,136,TRUE,Arabic,English,TRUE,TRUE
Libya,United States,595,1334,11113,8210,35552,TRUE,Arabic,English,TRUE,TRUE
Libya,Iraq,51,31,18,11,0,FALSE,Arabic,Arabic,FALSE,FALSE
Libya,Jordan,12,49,180,220,961,FALSE,Arabic,Arabic,FALSE,FALSE
Libya,Kuwait,3,16,85,83,78,FALSE,Arabic,Arabic,FALSE,FALSE
Libya,Lebanon,4,189,7,77,669,FALSE,Arabic,Arabic,FALSE,FALSE
Libya,Malaysia,0,0,0,1,3,FALSE,Arabic,Malay,TRUE,FALSE
Libya,Russian Federation,0,0,0,0,0,FALSE,Arabic,Russian,TRUE,FALSE
Libya,Saudi Arabia,5,27,138,360,390,FALSE,Arabic,Arabic,FALSE,FALSE
Libya,Sudan,22615,21576,27677,15689,18928,TRUE,Arabic,Arabic,FALSE,FALSE
Libya,Turkey,211,384,459,830,3065,TRUE,Arabic,Turkish,TRUE,TRUE
Libya,France,245,586,4,8,413,FALSE,Arabic,French,TRUE,FALSE
Libya,Japan,0,1,3,27,77,FALSE,Arabic,Japanese,TRUE,FALSE
Libya,Singapore,1,0,0,0,3,FALSE,Arabic,English,TRUE,FALSE
"Iran, Islamic Rep.",United Arab Emirates,74,2210,24124,44762,76907,TRUE,Persian,Arabic,TRUE,TRUE
"Iran, Islamic Rep.",Qatar,646,3271,6628,2984,3401,TRUE,Persian,Arabic,TRUE,TRUE
"Iran, Islamic Rep.",Oman,11,15,36,104,152,FALSE,Persian,Arabic,TRUE,FALSE
"Iran, Islamic Rep.",Switzerland,1049,1256,3202,1131,4226,TRUE,Persian,German,TRUE,TRUE
"Iran, Islamic Rep.",Afghanistan,19,2,37,22,23,FALSE,Persian,Arabic,TRUE,FALSE
"Iran, Islamic Rep.",Australia,108,180,3538,12461,18514,TRUE,Persian,English,TRUE,TRUE
"Iran, Islamic Rep.",Canada,759,9990,19618,16084,72987,TRUE,Persian,English,TRUE,TRUE
"Iran, Islamic Rep.",Germany,7246,13586,35952,66008,108486,TRUE,Persian,German,TRUE,TRUE
"Iran, Islamic Rep.",United Kingdom,4640,577,28735,33236,72672,TRUE,Persian,English,TRUE,TRUE
"Iran, Islamic Rep.",United States,7294,5761,134447,229109,294355,TRUE,Persian,English,TRUE,TRUE
