"","Origin","Destination","Intercept","Slope","p-value","R^2","2020","2030","2040","2050","2060","2070"
"100","Indonesia","Saudi Arabia","-26881.8000000001","8111.06","0.00980394156508445","0.920215012780216",459781.8,540892.4,622003,703113.6,784224.2,865334.8
"101","Indonesia","France","7570.8","341.97","0.609698761531966","0.0971341996527057",28089,31508.7,34928.4,38348.1,41767.8,45187.5
"102","Indonesia","Japan","-1571","391.77","0.0821563084407343","0.688445185494711",21935.2,25852.9,29770.6,33688.3,37606,41523.7
"103","Indonesia","Singapore","17749","989.5","0.079922361233992","0.693693531557124",77119,87014,96909,106804,116699,126594
"104","Philippines","United Arab Emirates","-974.600000000001","198.58","0.00724708866572675","0.934573847632342",10940.2,12926,14911.8,16897.6,18883.4,20869.2
"105","Philippines","Qatar","-3699.2","415.36","0.105491160813835","0.637070627795835",21222.4,25376,29529.6,33683.2,37836.8,41990.4
"106","Philippines","Oman","-861.200000000003","296.21","0.0143685154807824","0.8975581476449",16911.4,19873.5,22835.6,25797.7,28759.8,31721.9
"107","Philippines","Switzerland","-400.200000000001","99","0.133489626086374","0.582130852894815",5539.8,6529.8,7519.8,8509.8,9499.8,10489.8
"108","Philippines","Australia","-16807.4","2738.93","0.0188423544280008","0.877797845485928",147528.4,174917.7,202307,229696.3,257085.6,284474.9
"109","Philippines","Canada","-19865.6000000001","5240.96","0.0246607984622552","0.854541791908909",294592,347001.6,399411.2,451820.8,504230.4,556640
"110","Philippines","Germany","-11031","1344.67","0.0886533595869432","0.673534475305964",69649.2,83095.9,96542.6,109989.3,123436,136882.7
"111","Philippines","United Kingdom","2866.6","209.58","0.584964587960145","0.110345217014991",15441.4,17537.2,19633,21728.8,23824.6,25920.4
"112","Philippines","United States","-17292.4000000004","36006.5","0.00266825501715363","0.966169010407189",2143097.6,2503162.6,2863227.6,3223292.6,3583357.6,3943422.6
"113","Philippines","Jordan","-738","89.65","0.0601999528442354","0.743175822899564",4641,5537.5,6434,7330.5,8227,9123.5
"114","Philippines","Kuwait","-4835.40000000001","787.48","0.0623078586500068","0.737584310764537",42413.4,50288.2,58163,66037.8,73912.6,81787.4
"115","Philippines","Lebanon","-2543.2","275.92","0.115505540107392","0.616681838902232",14012,16771.2,19530.4,22289.6,25048.8,27808
"116","Philippines","Malaysia","-19267.2","5044.92","0.0160501548494948","0.889897551293982",283428,333877.2,384326.4,434775.6,485224.8,535674
"117","Philippines","Russia","-1316","131.6","0.181690113816209","0.5",6580,7896,9212,10528,11844,13160
"118","Philippines","Saudi Arabia","-34690.8","10467.13","0.00980388730395255","0.920215302243324",593337,698008.3,802679.6,907350.9,1012022.2,1116693.5
"119","Philippines","France","1563.2","91.73","0.469680626282874","0.185049839771563",7067,7984.3,8901.6,9818.9,10736.2,11653.5
"120","Philippines","Japan","-17645.2","2786.5","0.0422611056845872","0.794573991008725",149544.8,177409.8,205274.8,233139.8,261004.8,288869.8
"121","Philippines","Singapore","666.599999999998","296.1","0.266855770312216","0.3815829640903",18432.6,21393.6,24354.6,27315.6,30276.6,33237.6
"122","Sudan","United Arab Emirates","-5339.2","1088.06","0.00725280696039308","0.934539904081986",59944.4,70825,81705.6,92586.2,103466.8,114347.4
"123","Sudan","Qatar","-1830.8","217.9","0.119786200948776","0.608228973859662",11243.2,13422.2,15601.2,17780.2,19959.2,22138.2
"124","Sudan","Oman","-712.400000000001","245.11","0.0143789950421852","0.897509428680566",13994.2,16445.3,18896.4,21347.5,23798.6,26249.7
"125","Sudan","Australia","-417","101.56","0.0663163169045603","0.727168305130626",5676.6,6692.2,7707.8,8723.4,9739,10754.6
"126","Sudan","Canada","-574.8","137.58","0.148606549185881","0.554877419013501",7680,9055.8,10431.6,11807.4,13183.2,14559
"127","Sudan","United Kingdom","771","-22.02","0.165307055747887","0.526420676737931",-550.2,-770.4,-990.6,-1210.8,-1431,-1651.2
"128","Sudan","United States","-2586.4","423.17","0.0445136704971907","0.787687698457237",22803.8,27035.5,31267.2,35498.9,39730.6,43962.3
"129","Sudan","Iraq","510.6","33.58","0.363110465067055","0.276168169960374",2525.4,2861.2,3197,3532.8,3868.6,4204.4
"130","Sudan","Jordan","-277.600000000001","61.36","0.0110991081233793","0.913459612467257",3404,4017.6,4631.2,5244.8,5858.4,6472
"131","Sudan","Kuwait","384.4","87.06","0.0242608221875636","0.856069319688469",5608,6478.6,7349.2,8219.8,9090.4,9961
"132","Sudan","Lebanon","-1342","144.99","0.13779620812574","0.574211143298928",7357.4,8807.3,10257.2,11707.1,13157,14606.9
"133","Sudan","Saudi Arabia","-18654.8","5628.71","0.00980390896452541","0.920215186692095",319067.8,375354.9,431642,487929.1,544216.2,600503.3
"134","Spain","Switzerland","71412","1321.82","0.42070371341316","0.224008969876915",150721.2,163939.4,177157.6,190375.8,203594,216812.2
"135","Spain","Australia","7684.2","191.58","0.207731403082025","0.460683271069267",19179,21094.8,23010.6,24926.4,26842.2,28758
"136","Spain","Canada","11137","94","0.631200961606076","0.0864028662126716",16777,17717,18657,19597,20537,21477
"137","Spain","Germany","137719","501.039999999999","0.856697638580444","0.012721360359404",167781.4,172791.8,177802.2,182812.6,187823,192833.4
"138","Spain","United Kingdom","23438.6","802.1","0.0218858154135985","0.865343132807633",71564.6,79585.6,87606.6,95627.6,103648.6,111669.6
"139","Spain","United States","51021.6","1882.73","0.00316017677984347","0.962160450345068",163985.4,182812.7,201640,220467.3,239294.6,258121.9
"140","Spain","Turkey","6.39999999999998","17.19","0.328293486051858","0.311423939679707",1037.8,1209.7,1381.6,1553.5,1725.4,1897.3
"141","Spain","France","416157","-1842.69","0.859571696140303","0.0122141233434826",305595.6,287168.7,268741.8,250314.9,231888,213461.1
"142","Spain","Japan","-271.4","39.72","0.0309929442614146","0.831489629031544",2111.8,2509,2906.2,3303.4,3700.6,4097.8
"143","Sri Langka","United Arab Emirates","-381.8","77.83","0.00725873687483628","0.934504714309023",4288,5066.3,5844.6,6622.9,7401.2,8179.5
"144","Sri Langka","Qatar","-1206.8","165.1","0.0356171766651763","0.815791615305354",8699.2,10350.2,12001.2,13652.2,15303.2,16954.2
"145","Sri Langka","Oman","-2029.40000000001","698.16","0.0143721167459534","0.897541404085279",39860.2,46841.8,53823.4,60805,67786.6,74768.2
"146","Sri Langka","Switzerland","-6224.20000000001","738.87","0.104557998027674","0.639016768718946",38108,45496.7,52885.4,60274.1,67662.8,75051.5
"147","Sri Langka","Afghanistan","0.599999999999329","57.65","0.0139828118694857","0.899360350348479",3459.6,4036.1,4612.6,5189.1,5765.6,6342.1
"148","Sri Langka","Australia","-2734.80000000001","1284.55","0.00673891074144908","0.937629195590739",74338.2,87183.7,100029.2,112874.7,125720.2,138565.7
"149","Sri Langka","Canada","-7616.40000000001","1753.83","0.119588960172116","0.608615171800083",97613.4,115151.7,132690,150228.3,167766.6,185304.9
"150","Sri Langka","Germany","-10475.6","1373.43","0.0546138256557586","0.758406121890708",71930.2,85664.5,99398.8,113133.1,126867.4,140601.7
"151","Sri Langka","United Kingdom","18243.4","96.5599999999999","0.863305425548943","0.0115707603480576",24037,25002.6,25968.2,26933.8,27899.4,28865
"152","Sri Langka","United States","-3654","659.93","0.0132168094153926","0.902993898572419",35941.8,42541.1,49140.4,55739.7,62339,68938.3
"153","Sri Langka","Jordan","-2456.4","314.71","0.0428601410888858","0.792728608222789",16426.2,19573.3,22720.4,25867.5,29014.6,32161.7
"154","Sri Langka","Kuwait","-1896.2","308.66","0.0623956267024782","0.737353243897016",16623.4,19710,22796.6,25883.2,28969.8,32056.4
"155","Sri Langka","Lebanon","-833.800000000001","107.82","0.0420149362500834","0.79533536892733",5635.4,6713.6,7791.8,8870,9948.2,11026.4
"156","Sri Langka","Malaysia","2814","-2.78000000000005","0.974591401838691","0.000398289480571022",2647.2,2619.4,2591.6,2563.8,2535.99999999999,2508.19999999999
"157","Sri Langka","Saudi Arabia","-10411.8","3141.45","0.00980400903507011","0.920214652853545",178075.2,209489.7,240904.2,272318.7,303733.2,335147.7
"158","Sri Langka","France","2120.6","204.21","0.302309174558946","0.339776117067858",14373.2,16415.3,18457.4,20499.5,22541.6,24583.7
"159","Sri Langka","Japan","-790","107.28","0.0486207609053436","0.775483625858726",5646.8,6719.6,7792.4,8865.2,9938,11010.8
"160","Sri Langka","Singapore","777.6","37.84","0.378121091602346","0.261865772708582",3048,3426.4,3804.8,4183.2,4561.6,4940
"161","Myanmar","Australia","1108.4","242.56","0.00338139334361616","0.960428688780454",15662,18087.6,20513.2,22938.8,25364.4,27790
"162","Myanmar","Canada","-311.2","96.17","0.00742523795205108","0.933520739275573",5459,6420.7,7382.4,8344.1,9305.8,10267.5
"163","Myanmar","United Kingdom","15001.4","-256.05","0.14778827238175","0.556314597080605",-361.600000000002,-2922.1,-5482.6,-8043.1,-10603.6,-13164.1
"164","Myanmar","United States","-3849.20000000001","908.5","0.00714309450206705","0.935192806508701",50660.8,59745.8,68830.8,77915.8,87000.8,96085.8
"165","Myanmar","Malaysia","-1804.6","245.67","0.0579531341211021","0.749227441177357",12935.6,15392.3,17849,20305.7,22762.4,25219.1
"166","Myanmar","France","627.4","25.96","0.651416755105955","0.076937229680877",2185,2444.6,2704.2,2963.8,3223.4,3483
"167","Myanmar","Japan","-863.400000000001","104.04","0.08950507844918","0.67161699371821",5379,6419.4,7459.8,8500.2,9540.6,10581
"168","Libya","Qatar","226.2","11.09","0.571809231879318","0.117758447353051",891.6,1002.5,1113.4,1224.3,1335.2,1446.1
"169","Libya","Australia","-41.1999999999999","37.53","0.00409487767588363","0.955091212678233",2210.6,2585.9,2961.2,3336.5,3711.8,4087.1
"170","Libya","Canada","893.4","34.13","0.433391998600756","0.213463935556392",2941.2,3282.5,3623.8,3965.1,4306.4,4647.7
"171","Libya","Germany","-121.4","25.51","0.0808033432125774","0.691616074704217",1409.2,1664.3,1919.4,2174.5,2429.6,2684.7
"172","Libya","United Kingdom","1259.6","70.87","0.605575223127227","0.0992716243266702",5511.8,6220.5,6929.2,7637.9,8346.6,9055.3
"173","Libya","United States","-3997.2","767.9","0.0665712231867722","0.726515154784617",42076.8,49755.8,57434.8,65113.8,72792.8,80471.8
"174","Libya","Sudan","23949.2","-132.61","0.424315019434563","0.220974480276055",15992.6,14666.5,13340.4,12014.3,10688.2,9362.1
"175","Libya","Turkey","-241.000000000001","61.54","0.0867621458714539","0.677822349791744",3451.4,4066.8,4682.2,5297.6,5913,6528.4
"176","Iran, Islamic Rep.","United Arab Emirates","-9628.20000000001","1962.18","0.00725225286630549","0.934543192748501",108102.6,127724.4,147346.2,166968,186589.8,206211.6
"177","Iran, Islamic Rep.","Qatar","2341.4","52.23","0.519582085314399","0.149944495800578",5475.2,5997.5,6519.8,7042.1,7564.4,8086.7
"178","Iran, Islamic Rep.","Switzerland","926.999999999999","62.29","0.209283752860455","0.458434705721583",4664.4,5287.3,5910.2,6533.1,7156,7778.9
"179","Iran, Islamic Rep.","Australia","-2858.4","490.93","0.0142710733349052","0.898011771141395",26597.4,31506.7,36416,41325.3,46234.6,51143.9
"180","Iran, Islamic Rep.","Canada","-6222.40000000001","1505.5","0.075475145617804","0.704339324036064",84107.6,99162.6,114217.6,129272.6,144327.6,159382.6
"181","Iran, Islamic Rep.","Germany","-4724.80000000003","2549.02","0.00737476787421602","0.933818175410611",148216.4,173706.6,199196.8,224687,250177.2,275667.4
"182","Iran, Islamic Rep.","United Kingdom","-5772.60000000001","1687.23","0.0239843878413749","0.857130590948322",95461.2,112333.5,129205.8,146078.1,162950.4,179822.7
"183","Iran, Islamic Rep.","United States","-25300.8","7974.7","0.00548549697514307","0.945534925945814",453181.2,532928.2,612675.2,692422.2,772169.2,851916.2
"184","Iran, Islamic Rep.","Iraq","30069.6","-671.42","0.00400377604834688","0.955753713776711",-10215.6,-16929.8,-23644,-30358.2,-37072.4,-43786.6
"185","Iran, Islamic Rep.","Kuwait","42955.8","-495.66","0.641716785714468","0.0814044538633912",13216.2,8259.6,3303,-1653.60000000001,-6610.2,-11566.8
"186","Iran, Islamic Rep.","Lebanon","284.2","43.77","0.0713056358852596","0.714573676384077",2910.4,3348.1,3785.8,4223.5,4661.2,5098.9
"187","Iran, Islamic Rep.","Russia","-2337.2","233.72","0.181690113816209","0.5",11686,14023.2,16360.4,18697.6,21034.8,23372
"188","Iran, Islamic Rep.","Saudi Arabia","-262.8","79.35","0.0098112134150635","0.920176225305755",4498.2,5291.7,6085.2,6878.7,7672.2,8465.7
"189","Iran, Islamic Rep.","Turkey","4204.4","200.93","0.0167286142677428","0.886890745230165",16260.2,18269.5,20278.8,22288.1,24297.4,26306.7
"190","Iran, Islamic Rep.","France","6924.6","371.66","0.19418348009554","0.48075088984077",29224.2,32940.8,36657.4,40374,44090.6,47807.2
"191","Iran, Islamic Rep.","Japan","-1044.4","117.32","0.128081635146032","0.592262283885738",5994.8,7168,8341.2,9514.4,10687.6,11860.8
"192","Nepal","Afghanistan","755.599999999999","135.86","0.0201574876149395","0.872330559560721",8907.2,10265.8,11624.4,12983,14341.6,15700.2
"193","Nepal","Australia","-467.6","55.29","0.108407337459865","0.631041026178368",2849.8,3402.7,3955.6,4508.5,5061.4,5614.3
"194","Nepal","Canada","-95","22.82","0.0830908397720431","0.686268576937898",1274.2,1502.4,1730.6,1958.8,2187,2415.2
"195","Nepal","United States","-2120.8","269.54","0.085124818835359","0.681568892879405",14051.6,16747,19442.4,22137.8,24833.2,27528.6
"196","Nepal","Malaysia","100.8","52.39","0.222884000468026","0.439159332389876",3244.2,3768.1,4292,4815.9,5339.8,5863.7
"197","Nepal","Saudi Arabia","-1268.8","382.81","0.00980705962011942","0.920198380066009",21699.8,25527.9,29356,33184.1,37012.2,40840.3
